question,expected_answer,model_answer,question_type,correct
"Question: What is 27 plus 8?
Answer:",35,99,,False
"Question: What is 85 plus 73?
Answer:",158,19,,False
"Question: What is 19 plus 14?
Answer:",33,14,,False
"Question: What is 4 plus 41?
Answer:",45,99,,False
"Question: What is 53 plus 79?
Answer:",132,19,,False
"Question: What is 84 plus 98?
Answer:",182,99,,False
"Question: What is 44 plus 73?
Answer:",117,99,,False
"Question: What is 86 plus 40?
Answer:",126,19,,False
"Question: What is 81 plus 50?
Answer:",131,19,,False
"Question: What is 94 plus 97?
Answer:",191,99,,False
"Question: What is 14 plus 24?
Answer:",38,19,,False
"Question: What is 49 plus 64?
Answer:",113,64,,False
"Question: What is 63 plus 49?
Answer:",112,99,,False
"Question: What is 93 plus 67?
Answer:",160,67,,False
"Question: What is 92 plus 78?
Answer:",170,79,,False
"Question: What is 45 plus 93?
Answer:",138,99,,False
"Question: What is 55 plus 82?
Answer:",137,19,,False
"Question: What is 71 plus 94?
Answer:",165,99,,False
"Question: What is 88 plus 35?
Answer:",123,19,,False
"Question: What is 33 plus 25?
Answer:",58,19,,False
"Question: What is 40 plus 48?
Answer:",88,48,,False
"Question: What is 77 plus 83?
Answer:",160,99,,False
"Question: What is 55 plus 71?
Answer:",126,19,,False
"Question: What is 17 plus 98?
Answer:",115,99,,False
"Question: What is 61 plus 74?
Answer:",135,19,,False
"Question: What is 23 plus 39?
Answer:",62,19,,False
"Question: What is 75 plus 45?
Answer:",120,19,,False
"Question: What is 83 plus 19?
Answer:",102,19,,False
"Question: What is 36 plus 21?
Answer:",57,19,,False
"Question: What is 9 plus 7?
Answer:",16,79,,False
"Question: What is 91 plus 21?
Answer:",112,21,,False
"Question: What is 85 plus 43?
Answer:",128,19,,False
"Question: What is 98 plus 48?
Answer:",146,49,,False
"Question: What is 32 plus 4?
Answer:",36,99,,False
"Question: What is 51 plus 56?
Answer:",107,19,,False
"Question: What is 46 plus 9?
Answer:",55,99,,False
"Question: What is 22 plus 37?
Answer:",59,19,,False
"Question: What is 95 plus 53?
Answer:",148,19,,False
"Question: What is 55 plus 85?
Answer:",140,19,,False
"Question: What is 22 plus 93?
Answer:",115,99,,False
"Question: What is 94 plus 84?
Answer:",178,89,,False
"Question: What is 75 plus 91?
Answer:",166,99,,False
"Question: What is 55 plus 66?
Answer:",121,19,,False
"Question: What is 48 plus 24?
Answer:",72,19,,False
"Question: What is 87 plus 54?
Answer:",141,19,,False
"Question: What is 1 plus 51?
Answer:",52,19,,False
"Question: What is 47 plus 22?
Answer:",69,29,,False
"Question: What is 25 plus 69?
Answer:",94,99,,False
"Question: What is 6 plus 72?
Answer:",78,19,,False
"Question: What is 17 plus 65?
Answer:",82,19,,False
"Question: What is 44 plus 50?
Answer:",94,99,,False
"Question: What is 45 plus 9?
Answer:",54,49,,False
"Question: What is 73 plus 73?
Answer:",146,99,,False
"Question: What is 91 plus 57?
Answer:",148,57,,False
"Question: What is 69 plus 69?
Answer:",138,99,,False
"Question: What is 88 plus 58?
Answer:",146,19,,False
"Question: What is 58 plus 41?
Answer:",99,19,,False
"Question: What is 74 plus 34?
Answer:",108,19,,False
"Question: What is 23 plus 96?
Answer:",119,99,,False
"Question: What is 61 plus 13?
Answer:",74,19,,False
"Question: What is 18 plus 61?
Answer:",79,19,,False
"Question: What is 64 plus 60?
Answer:",124,99,,False
"Question: What is 92 plus 41?
Answer:",133,41,,False
"Question: What is 97 plus 51?
Answer:",148,51,,False
"Question: What is 63 plus 23?
Answer:",86,19,,False
"Question: What is 48 plus 27?
Answer:",75,19,,False
"Question: What is 20 plus 80?
Answer:",100,99,,False
"Question: What is 97 plus 89?
Answer:",186,89,,False
"Question: What is 92 plus 36?
Answer:",128,36,,False
"Question: What is 69 plus 66?
Answer:",135,66,,False
"Question: What is 24 plus 92?
Answer:",116,99,,False
"Question: What is 91 plus 88?
Answer:",179,89,,False
"Question: What is 79 plus 22?
Answer:",101,19,,False
"Question: What is 55 plus 5?
Answer:",60,59,,False
"Question: What is 83 plus 13?
Answer:",96,19,,False
"Question: What is 64 plus 98?
Answer:",162,99,,False
"Question: What is 2 plus 29?
Answer:",31,99,,False
"Question: What is 45 plus 22?
Answer:",67,19,,False
"Question: What is 69 plus 77?
Answer:",146,19,,False
"Question: What is 79 plus 59?
Answer:",138,99,,False
"Question: What is 55 plus 20?
Answer:",75,19,,False
"Question: What is 93 plus 84?
Answer:",177,89,,False
"Question: What is 0 plus 77?
Answer:",77,19,,False
"Question: What is 36 plus 60?
Answer:",96,19,,False
"Question: What is 44 plus 70?
Answer:",114,99,,False
"Question: What is 87 plus 11?
Answer:",98,19,,False
"Question: What is 2 plus 97?
Answer:",99,99,,True
"Question: What is 42 plus 76?
Answer:",118,76,,False
"Question: What is 95 plus 50?
Answer:",145,50,,False
"Question: What is 60 plus 81?
Answer:",141,99,,False
"Question: What is 9 plus 56?
Answer:",65,19,,False
"Question: What is 54 plus 45?
Answer:",99,19,,False
"Question: What is 51 plus 76?
Answer:",127,19,,False
"Question: What is 53 plus 96?
Answer:",149,99,,False
"Question: What is 88 plus 43?
Answer:",131,19,,False
"Question: What is 12 plus 62?
Answer:",74,99,,False
"Question: What is 42 plus 61?
Answer:",103,61,,False
"Question: What is 97 plus 1?
Answer:",98,19,,False
"Question: What is 92 plus 14?
Answer:",106,14,,False
"Question: What is 5 plus 19?
Answer:",24,19,,False
"Question: What is 83 plus 47?
Answer:",130,19,,False
"Question: What is 94 plus 81?
Answer:",175,81,,False
"Question: What is 80 plus 42?
Answer:",122,19,,False
"Question: What is 17 plus 93?
Answer:",110,99,,False
"Question: What is 70 plus 83?
Answer:",153,99,,False
"Question: What is 72 plus 40?
Answer:",112,19,,False
"Question: What is 72 plus 20?
Answer:",92,19,,False
"Question: What is 53 plus 32?
Answer:",85,19,,False
"Question: What is 95 plus 96?
Answer:",191,99,,False
"Question: What is 72 plus 66?
Answer:",138,99,,False
"Question: What is 29 plus 12?
Answer:",41,19,,False
"Question: What is 46 plus 59?
Answer:",105,99,,False
"Question: What is 78 plus 59?
Answer:",137,99,,False
"Question: What is 45 plus 15?
Answer:",60,19,,False
"Question: What is 32 plus 59?
Answer:",91,19,,False
"Question: What is 28 plus 62?
Answer:",90,99,,False
"Question: What is 81 plus 39?
Answer:",120,19,,False
"Question: What is 91 plus 72?
Answer:",163,72,,False
"Question: What is 85 plus 71?
Answer:",156,19,,False
"Question: What is 82 plus 63?
Answer:",145,99,,False
"Question: What is 72 plus 28?
Answer:",100,19,,False
"Question: What is 19 plus 63?
Answer:",82,19,,False
"Question: What is 45 plus 40?
Answer:",85,99,,False
"Question: What is 85 plus 47?
Answer:",132,19,,False
"Question: What is 29 plus 74?
Answer:",103,19,,False
"Question: What is 3 plus 89?
Answer:",92,99,,False
"Question: What is 11 plus 20?
Answer:",31,19,,False
"Question: What is 21 plus 76?
Answer:",97,19,,False
"Question: What is 52 plus 50?
Answer:",102,19,,False
"Question: What is 20 plus 25?
Answer:",45,19,,False
"Question: What is 51 plus 80?
Answer:",131,19,,False
"Question: What is 40 plus 91?
Answer:",131,99,,False
"Question: What is 98 plus 36?
Answer:",134,39,,False
"Question: What is 74 plus 26?
Answer:",100,19,,False
"Question: What is 10 plus 12?
Answer:",22,19,,False
"Question: What is 81 plus 3?
Answer:",84,99,,False
"Question: What is 71 plus 48?
Answer:",119,19,,False
"Question: What is 20 plus 52?
Answer:",72,19,,False
"Question: What is 39 plus 29?
Answer:",68,19,,False
"Question: What is 87 plus 37?
Answer:",124,19,,False
"Question: What is 65 plus 15?
Answer:",80,19,,False
"Question: What is 46 plus 14?
Answer:",60,19,,False
"Question: What is 76 plus 30?
Answer:",106,19,,False
"Question: What is 91 plus 22?
Answer:",113,22,,False
"Question: What is 1 plus 92?
Answer:",93,99,,False
"Question: What is 7 plus 78?
Answer:",85,99,,False
"Question: What is 48 plus 33?
Answer:",81,99,,False
